From,To,Distance
HAI,SUD,10984
HAI,IRN,11595
HAI,TUR,9941
HAI,IRQ,11167
HAI,EGY,10217
HAI,SYR,10509
HAI,LEB,10437
HAI,JOR,10574
HAI,ISR,10432
HAI,SAU,11883
HAI,YAR,12110
HAI,YEM,12110
HAI,YPR,12335
HAI,KUW,11698
HAI,BAH,12152
HAI,QAT,12178
HAI,UAE,12541
HAI,OMA,12936
HAI,AFG,12866
HAI,TKM,11937
HAI,TAJ,12510
HAI,KYR,12450
HAI,UZB,12281
HAI,KZK,12471
HAI,CHN,13520
HAI,TBT,14348
HAI,MON,12694
HAI,TAW,14919
HAI,KOR,13486
HAI,PRK,13321
HAI,ROK,13486
HAI,JPN,13135
HAI,IND,13870
HAI,BHU,14565
HAI,PAK,13174
HAI,BNG,15003
HAI,MYA,15941
HAI,SRI,15895
HAI,NEP,14378
HAI,MAD,15496
HAI,THI,16388
HAI,CAM,16684
HAI,LAO,15991
HAI,VNM,16730
HAI,DRV,15590
HAI,RVN,16730
HAI,MAL,17505
HAI,SIN,17774
HAI,BRU,17316
HAI,PHI,16083
HAI,INS,18596
HAI,ETM,17768
HAI,AUL,15545
HAI,PNG,15602
HAI,NEW,13243
HAI,VAN,13730
HAI,SOL,14346
HAI,FJI,12585
HAI,MSI,12713
HAI,PAL,15867
HAI,FSM,13775
HAI,WSM,13111
DOM,USA,2358
DOM,CAN,3027
DOM,BHM,891
DOM,CUB,1381
DOM,HAI,246
DOM,JAM,723
DOM,TRI,1275
DOM,BAR,1266
DOM,DMA,1079
DOM,GRN,1140
DOM,SLU,1076
DOM,SVG,1106
DOM,AAB,882
DOM,SKN,777
DOM,BLZ,1924
DOM,MEX,3063
DOM,GUA,2223
DOM,HON,1909
DOM,SAL,2109
DOM,NIC,1885
DOM,COS,1793
DOM,PAN,1471
DOM,COL,1602
DOM,VEN,993
DOM,GUY,1815
DOM,SUR,2135
DOM,ECU,2252
DOM,PER,3477
DOM,BRA,4461
DOM,BOL,3846
DOM,PAR,5025
DOM,CHL,5729
DOM,ARG,5963
DOM,URU,6024
DOM,UK,7036
DOM,IRE,6620
DOM,NTH,7362
DOM,BEL,7328
DOM,LUX,7460
DOM,FRN,7183
DOM,MNC,7596
DOM,LIE,7726
DOM,SWZ,7569
DOM,SPN,6700
DOM,AND,7127
DOM,POR,6221
DOM,GMY,7953
DOM,GFR,7530
DOM,GDR,7953
DOM,POL,8469
DOM,AUH,8218
DOM,AUS,8218
DOM,HUN,8447
DOM,CZE,8051
DOM,CZR,8051
DOM,SLO,8279
DOM,ITA,8063
DOM,SNM,7995
DOM,MLT,8338
DOM,ALB,8650
DOM,SER,8623
DOM,MNG,8569
DOM,MAC,8759
DOM,CRO,8251
DOM,YUG,8623
DOM,BOS,8492
DOM,SLV,8119
DOM,GRC,9058
DOM,CYP,9982
DOM,BUL,8903
DOM,MLD,9154
DOM,RUM,9060
DOM,RUS,9393
DOM,EST,8508
DOM,LAT,8557
DOM,LIT,8696
DOM,UKR,9157
DOM,BLR,8864
DOM,ARM,10621
DOM,GRG,10643
DOM,AZE,11005
DOM,FIN,8491
DOM,SWD,8134
DOM,NOR,7716
DOM,DEN,7853
DOM,ICE,6206
DOM,CAP,4877
DOM,STP,8597
DOM,GNB,5875
DOM,EQG,8877
DOM,GAM,5716
DOM,MLI,6655
DOM,SEN,5603
DOM,BEN,7965
DOM,MAA,5676
DOM,NIR,7694
DOM,CDI,7121
DOM,GUI,6147
DOM,BFO,7339
DOM,LBR,6544
DOM,SIE,6214
DOM,GHA,7735
DOM,TOG,7808
DOM,CAO,8997
DOM,NIG,8035
DOM,GAB,8894
DOM,CEN,9719
DOM,CHA,9063
DOM,CON,9653
DOM,DRC,9653
DOM,UGA,11316
DOM,KEN,11810
DOM,TAZ,12249
DOM,ZAN,12238
DOM,BUI,11091
DOM,RWA,11111
DOM,SOM,12582
DOM,DJI,11940
DOM,ETH,11611
DOM,ERI,11365
DOM,ANG,9574
DOM,MZM,12101
DOM,ZAM,11402
DOM,ZIM,11717
DOM,MAW,11876
DOM,SAF,11669
DOM,TRA,11669
DOM,OFS,11570
DOM,NAM,10482
DOM,LES,11659
DOM,BOT,11412
DOM,SWA,11970
DOM,MAG,13461
DOM,COM,12828
DOM,MAS,14533
DOM,SEY,13914
DOM,MOR,6431
DOM,ALG,7305
DOM,TUN,7942
DOM,LIB,8328
DOM,SUD,10757
DOM,IRN,11434
DOM,TUR,9768
DOM,IRQ,10991
DOM,EGY,10019
DOM,SYR,10323
DOM,LEB,10251
DOM,JOR,10383
DOM,ISR,10242
DOM,SAU,11686
